DAC_sector_code,DAC_sector_name,DAC_5_code,DAC_5_name,CRS_code,DESCRIPTION,notes,parent_code,cc_id
150,GOVERNMENT AND CIVIL SOCIETY,151,"Government and civil society, general",15118,Tax policy,,15111,1.3.6
150,GOVERNMENT AND CIVIL SOCIETY,151,"Government and civil society, general",15119,Tax collection,,15111,1.3.7
150,GOVERNMENT AND CIVIL SOCIETY,151,"Government and civil society, general",15121,Foreign affairs,,15110,1.4.1
150,GOVERNMENT AND CIVIL SOCIETY,151,"Government and civil society, general",15122,Diplomatic missions,,15110,1.4.2
150,GOVERNMENT AND CIVIL SOCIETY,151,"Government and civil society, general",15123,Official development assistance,,15110,1.4.3
150,GOVERNMENT AND CIVIL SOCIETY,151,"Government and civil society, general",15124,General personnel services,,15110,1.5.1
150,GOVERNMENT AND CIVIL SOCIETY,151,"Government and civil society, general",15125,Central procurement,,15110,1.7.2
150,GOVERNMENT AND CIVIL SOCIETY,151,"Government and civil society, general",15126,Other general public services,,15110,1.7.4
150,GOVERNMENT AND CIVIL SOCIETY,151,"Government and civil society, general",15130,Legal and judicial development,"Support to institutions, systems and procedures of the justice sector, both formal and informal; support to ministries of justice, the interior and home affairs; judges and courts; legal drafting services; bar and lawyers associations; professional legal education; maintenance of law and order and public safety; border management; law enforcement agencies, police, prisons and their supervision; ombudsmen; alternative dispute resolution, arbitration and mediation; legal aid and counsel; traditional, indigenous and paralegal practices that fall outside the formal legal system.

Measures that support the improvement of legal frameworks, constitutions, laws and regulations; legislative and constitutional drafting and review; legal reform; integration of formal and informal systems of law.

Public legal education; dissemination of information on entitlements and remedies for injustice; awareness campaigns. 

(Use codes 152xx for activities that are primarily aimed at supporting security system reform or undertaken in connection with post-conflict and peace building activities.)
",,0
150,GOVERNMENT AND CIVIL SOCIETY,151,"Government and civil society, general",15131,"Justice law and order policy, planning and administration",,15130,2.1.1
150,GOVERNMENT AND CIVIL SOCIETY,151,"Government and civil society, general",15132,Police,,15130,2.1.2
150,GOVERNMENT AND CIVIL SOCIETY,151,"Government and civil society, general",15133,Fire,,15130,2.1.3
150,GOVERNMENT AND CIVIL SOCIETY,151,"Government and civil society, general",15134,Judicial affairs,,15130,2.1.4
150,GOVERNMENT AND CIVIL SOCIETY,151,"Government and civil society, general",15135,Ombudsman,,15130,2.1.5
150,GOVERNMENT AND CIVIL SOCIETY,151,"Government and civil society, general",15136,Immigration,,15130,2.1.7
150,GOVERNMENT AND CIVIL SOCIETY,151,"Government and civil society, general",15137,Prisons,,15130,2.1.9
150,GOVERNMENT AND CIVIL SOCIETY,151,"Government and civil society, general",15140,"Economic, commercial and labour policy, planning and administration",,15110,3.1.1
150,GOVERNMENT AND CIVIL SOCIETY,151,"Government and civil society, general",15141,"General economic, commercial and labour affairs",,15110,3.1.2
150,GOVERNMENT AND CIVIL SOCIETY,151,"Government and civil society, general",15142,National standards development,,15110,3.1.7
150,GOVERNMENT AND CIVIL SOCIETY,151,"Government and civil society, general",15143,Meteorological services,,15110,3.8.13
150,GOVERNMENT AND CIVIL SOCIETY,151,"Government and civil society, general",15150,Democratic participation and civil society,"Support to the exercise of democracy and diverse forms of participation of citizens beyond elections (15151); direct democracy instruments such as referenda and citizens’ initiatives; support to organisations to represent and advocate for their members, to monitor, engage and hold governments to account, and to help citizens learn to act in the public sphere; curricula and teaching for civic education at various levels. (This purpose code is restricted to activities targeting governance issues. When assistance to civil society is for non-governance purposes use other appropriate purpose codes.)",,1.7.1
150,GOVERNMENT AND CIVIL SOCIETY,151,"Government and civil society, general",15151,Elections,"Electoral management bodies and processes, election observation, voters' education. (Use code 15230 when in the context of an international peacekeeping operation.)",,1.8.1
150,GOVERNMENT AND CIVIL SOCIETY,151,"Government and civil society, general",15152,Legislatures and political parties,"Assistance to strengthen key functions of legislatures/ parliaments including subnational assemblies and councils (representation; oversight; legislation), such as improving the capacity of legislative bodies, improving legislatures’ committees and administrative procedures,; research and information management systems; providing training programmes for legislators and support personnel. Assistance to political parties and strengthening of party systems.",,1.2.1
150,GOVERNMENT AND CIVIL SOCIETY,151,"Government and civil society, general",15153,Media and free flow of information,"Activities that support free and uncensored flow of information on public issues; activities that increase the editorial and technical skills and the integrity of the print and broadcast media, e.g. training of journalists. (Use codes 22010-22040 for provision of equipment and capital assistance to media.)",,1.7.4
150,GOVERNMENT AND CIVIL SOCIETY,151,"Government and civil society, general",15154,Executive office,,15110,1.1.1
150,GOVERNMENT AND CIVIL SOCIETY,151,"Government and civil society, general",15160,Human rights,"Measures to support specialised official human rights institutions and mechanisms at universal, regional, national and local levels in their statutory roles to promote and protect civil and political, economic, social and cultural rights as defined in international conventions and covenants; translation of international human rights commitments into national legislation; reporting and follow-up; human rights dialogue.

Human rights defenders and human rights NGOs; human rights advocacy, activism, mobilisation; awareness raising and public human rights education.

Human rights programming targeting specific groups, e.g. children, persons with disabilities, migrants, ethnic, religious, linguistic and sexual minorities, indigenous people and those suffering from caste discrimination, victims of trafficking, victims of torture. 

(Use code 15230 when in the context of a peacekeeping operation)
",,2.1.6
150,GOVERNMENT AND CIVIL SOCIETY,151,"Government and civil society, general",15170,Women’s equality organisations and institutions,Support for institutions and organisations (governmental and non-governmental) working for gender equality and women’s empowerment.,,5.4.5
150,GOVERNMENT AND CIVIL SOCIETY,151,"Government and civil society, general",15181,Local government finance,,15112,1.3.8
150,GOVERNMENT AND CIVIL SOCIETY,151,"Government and civil society, general",15182,Other central transfers to institutions,,15112,1.3.9
150,GOVERNMENT AND CIVIL SOCIETY,151,"Government and civil society, general",15185,Local government administration,,15112,1.7.3
150,GOVERNMENT AND CIVIL SOCIETY,151,"Government and civil society, general",15191,National monitoring and evaluation,,15110,1.3.11
150,GOVERNMENT AND CIVIL SOCIETY,151,"Government and civil society, general",15192,National planning,,15110,1.3.3
150,GOVERNMENT AND CIVIL SOCIETY,152,"Conflict prevention and resolution, peace and security",15210,Security system management and reform,"Technical co-operation provided to parliament, government ministries, law enforcement agencies and the judiciary to assist review and reform of the security system to improve democratic governance and civilian control; technical co-operation provided to government to improve civilian oversight and democratic control of budgeting, management, accountability and auditing of security expenditure, including military budgets, as part of a public expenditure management programme; assistance to civil society to enhance its competence and capacity to scrutinise the security system so that it is managed in accordance with democratic norms and principles of accountability, transparency and good governance. [Other than in the context of an international peacekeeping operation (15230)].",,0
150,GOVERNMENT AND CIVIL SOCIETY,152,"Conflict prevention and resolution, peace and security",15211,"Security policy, planning and administration",,15210,2.2.1
150,GOVERNMENT AND CIVIL SOCIETY,152,"Conflict prevention and resolution, peace and security",15212,Civil defence,,15210,2.2.3
150,GOVERNMENT AND CIVIL SOCIETY,152,"Conflict prevention and resolution, peace and security",15220,"Civilian peace-building, conflict prevention and resolution","Support for civilian activities related to peace building, conflict prevention and resolution, including capacity building, monitoring, dialogue and information exchange.
Bilateral participation in international civilian peace missions such as those conducted by the UN Department of Political Affairs (UNDPA) or the European Union (European Security and Defence Policy), and contributions to civilian peace funds or commissions (e.g. Peacebuilding Commission, Peacebuilding thematic window of the MDG achievement fund etc.). The contributions can take the form of financing or provision of equipment or civilian or military personnel (e.g. for training civilians).
(Use code 15230 for bilateral participation in international peacekeeping operations).",,2.1.10
150,GOVERNMENT AND CIVIL SOCIETY,152,"Conflict prevention and resolution, peace and security",15230,Participation in international peacekeeping operations,"Bilateral participation in peacekeeping operations mandated or authorised by the United Nations (UN) through Security Council resolutions, and conducted by international organisations, e.g. UN, NATO, the European Union (Security and Defence Policy security-related operations), or regional groupings of developing countries. Direct contributions to the UN Department for Peacekeeping Operations (UNDPKO) budget are excluded from bilateral ODA (they are reportable in part as multilateral ODA, see Annex 2 of DAC Directives). The activities that can be reported as bilateral ODA under this code are limited to: human rights and election monitoring; reintegration of demobilised soldiers; rehabilitation of basic national infrastructure; monitoring or retraining of civil administrators and police forces; security sector reform and other rule of law-related activities; training in customs and border control procedures; advice or training in fiscal or macroeconomic stabilisation policy; repatration and demobilisation of armed factions, and disposal of their weapons; explosive mine removal. The enforcement aspects of international peacekeeping operations are not reportable as ODA. ODA-eligible bilateral participation in peacekeeping operations can take the form of financing or provision of equipment or military or civilian personnel (e.g. police officers). The reportable cost is calculated as the excess over what the personnel and equipment would have cost to maintain had they not been assigned to take part in a peace operation. International peacekeeping operations may include humanitarian-type activities (contributions to the form of equipment or personnel), as described in paragraphs 184 and 185 of DAC Directives. These should be included under code 15230 if they are an integrated part of the activities above, otherwise they should be reported as humanitarian aid. NB: When using this code, indicate the name of the operation in the short description of the activity reported.",,2.1.10
150,GOVERNMENT AND CIVIL SOCIETY,152,"Conflict prevention and resolution, peace and security",15240,Reintegration and SALW control,"Reintegration of demobilised military personnel into the economy; conversion of production facilities from military to civilian outputs; technical co-operation to control, prevent and/or reduce the proliferation of small arms and light weapons (SALW) – see para. 45 of the DAC Statistical Reporting Directives for definition of SALW activities covered. [Other than in the context of an international peacekeeping operation (15230) or child soldiers (15261)].",,2.1.11
150,GOVERNMENT AND CIVIL SOCIETY,152,"Conflict prevention and resolution, peace and security",15250,Removal of land mines and explosive remnants of war,"All activities related to land mines and explosive remnants of war which have benefits to developing countries as their main objective, including removal of land mines and explosive remnants of war, and stockpile destruction for developmental purposes [other than in the context of an international peacekeeping operation (15230)]; risk education and awareness raising; rehabilitation, reintegration and assistance to victims, and research and development on demining and clearance. Only activities for civilian purposes are ODA-eligible.",,2.2.3
150,GOVERNMENT AND CIVIL SOCIETY,152,"Conflict prevention and resolution, peace and security",15261,Child soldiers (Prevention and demobilisation) ,"Technical co-operation provided to government – and assistance to civil society organisations – to support and apply legislation designed to prevent the recruitment of child soldiers, and to demobilise, disarm, reintegrate, repatriate and resettle (DDR) child soldiers.",,2.1.11
160,OTHER SOCIAL INFRASTRUCTURE AND SERVICES,,,16010,Social/ welfare services,"Social legislation and administration; institution capacity building and advice; social security and other social schemes; special programmes for the elderly, orphans, the disabled, street children; social dimensions of structural adjustment; unspecified social infrastructure and services, including consumer protection.",,0
160,OTHER SOCIAL INFRASTRUCTURE AND SERVICES,,,16011,"Social protection and welfare services policy, planning and administration",,16010,5.4.1
160,OTHER SOCIAL INFRASTRUCTURE AND SERVICES,,,16012,Social security (excl pensions),,16010,5.4.2
160,OTHER SOCIAL INFRASTRUCTURE AND SERVICES,,,16013,General pensions,,16010,5.4.3
160,OTHER SOCIAL INFRASTRUCTURE AND SERVICES,,,16014,Civil service and military pensions,,16010,5.4.4
160,OTHER SOCIAL INFRASTRUCTURE AND SERVICES,,,16015,Social services (incl youth development and women+ children),,16010,5.4.5
160,OTHER SOCIAL INFRASTRUCTURE AND SERVICES,,,16020,Employment policy and administrative management,Employment policy and planning; labour law; labour unions; institution capacity building and advice; support programmes for unemployed; employment creation and income generation programmes; occupational safety and health; combating child labour.,,3.1.6
160,OTHER SOCIAL INFRASTRUCTURE AND SERVICES,,,16030,Housing policy and administrative management,"Housing sector policy, planning and programmes;  excluding low-cost housing and slum clearance (16040).",,5.4.9
160,OTHER SOCIAL INFRASTRUCTURE AND SERVICES,,,16040,Low-cost housing,Including slum clearance.,,5.4.9
160,OTHER SOCIAL INFRASTRUCTURE AND SERVICES,,,16050,Multisector aid for basic social services ,"Basic social services are defined to include basic education, basic health, basic nutrition, population/reproductive health and basic drinking water supply and basic sanitation.",,0
160,OTHER SOCIAL INFRASTRUCTURE AND SERVICES,,,16061,Culture and recreation,Including libraries and museums.,,0
160,OTHER SOCIAL INFRASTRUCTURE AND SERVICES,,,16062,Statistical capacity building,Both in national statistical offices and any other government ministries.,,1.6.1
160,OTHER SOCIAL INFRASTRUCTURE AND SERVICES,,,16063,Narcotics control,In-country and customs controls including training of the police; educational programmes and awareness campaigns to restrict narcotics traffic and in-country distribution.,,2.1.2
160,OTHER SOCIAL INFRASTRUCTURE AND SERVICES,,,16064,Social mitigation of HIV/AIDS,"Special programmes to address the consequences of HIV/AIDS, e.g. social, legal and economic assistance to people living with HIV/AIDS including food security and employment; support to vulnerable groups and children orphaned by HIV/AIDS; human rights of HIV/AIDS affected people. ",,5.1.1
160,OTHER SOCIAL INFRASTRUCTURE AND SERVICES,,,16065,Recreation and sport,,16061,5.2.1
160,OTHER SOCIAL INFRASTRUCTURE AND SERVICES,,,16066,Culture,,16061,5.2.2
160,OTHER SOCIAL INFRASTRUCTURE AND SERVICES,,,16067,Religion,,16061,5.2.4
210,TRANSPORT AND STORAGE,,,21010,Transport policy and administrative management,"Transport sector policy, planning and programmes; aid to transport ministries; institution capacity building and advice; unspecified transport; activities that combine road, rail, water and/or air transport.",,0
210,TRANSPORT AND STORAGE,,,21011,"Transport policy, planning and administration",,21010,3.8.1
210,TRANSPORT AND STORAGE,,,21012,Pipelines,,21010,3.8.10
210,TRANSPORT AND STORAGE,,,21013,Public transport services,,21010,3.8.12
210,TRANSPORT AND STORAGE,,,21014,Transport regulation,,21010,3.8.2
210,TRANSPORT AND STORAGE,,,21020,Road transport,"Road infrastructure, road vehicles; passenger road transport, motor passenger cars.",,0
210,TRANSPORT AND STORAGE,,,21021,Feeder road construction,,21020,3.8.3
210,TRANSPORT AND STORAGE,,,21022,Feeder road maintenance,,21020,3.8.4
210,TRANSPORT AND STORAGE,,,21023,National road construction,,21020,3.8.5
210,TRANSPORT AND STORAGE,,,21024,National road maintenance,,21020,3.8.6
210,TRANSPORT AND STORAGE,,,21030,Rail transport,"Rail infrastructure, rail equipment, locomotives, other rolling stock; including light rail (tram) and underground systems.",,3.8.7
210,TRANSPORT AND STORAGE,,,21040,Water transport,"Harbours and docks, harbour guidance systems, ships and boats; river and other inland water transport, inland barges and vessels.",,3.8.8
210,TRANSPORT AND STORAGE,,,21050,Air transport,"Airports, airport guidance systems, aeroplanes, aeroplane maintenance equipment.",,3.8.9
210,TRANSPORT AND STORAGE,,,21061,Storage,Whether or not related to transportation.,,3.8.11
210,TRANSPORT AND STORAGE,,,21081,Education and training in transport and storage,,,3.8.14
220,COMMUNICATION,,,22010,Communications policy and administrative management,"Communications sector policy, planning and programmes; institution capacity building and advice; including postal services development; unspecified communications activities.",,0
220,COMMUNICATION,,,22011,"Communications policy, planning and administration",,22010,3.10.1
220,COMMUNICATION,,,22012,Postal services,,22010,3.10.3
220,COMMUNICATION,,,22013,Information services,,22010,3.10.4
220,COMMUNICATION,,,22020,Telecommunications,"Telephone networks, telecommunication satellites, earth stations.",,3.10.3
220,COMMUNICATION,,,22030,Radio/television/print media,"Radio and TV links, equipment; newspapers; printing and publishing.",,5.2.3
220,COMMUNICATION,,,22040,Information and communication technology (ICT),Computer hardware and software; internet access; IT training.  When sector cannot be specified.  ,,3.10.2
230,ENERGY GENERATION AND SUPPLY,,,23010,Energy policy and administrative management,"Energy sector policy, planning and programmes; aid to energy ministries; institution capacity building and advice; unspecified energy activities including energy conservation.",,0
230,ENERGY GENERATION AND SUPPLY,,,23011,"Policy, planning and administration",,23010,3.6.1
230,ENERGY GENERATION AND SUPPLY,,,23012,Energy regulation,,23010,3.6.3
230,ENERGY GENERATION AND SUPPLY,,,23020,Power generation/non-renewable sources ,Thermal power plants including when heat source cannot be determined; combined gas-coal power plants.,,3.6.6
230,ENERGY GENERATION AND SUPPLY,,,23030,Power generation/renewable sources ,"Including policy, planning, development programmes, surveys and incentives. Fuelwood/ charcoal production should be included under forestry (31261).",,3.6.6
230,ENERGY GENERATION AND SUPPLY,,,23040,Electrical transmission/ distribution,Distribution from power source to end user; transmission lines.,,3.6.4
230,ENERGY GENERATION AND SUPPLY,,,23050,Gas distribution,Delivery for use by ultimate consumer.,,3.6.7
230,ENERGY GENERATION AND SUPPLY,,,23061,Oil-fired power plants,Including diesel power plants.,,3.6.6
230,ENERGY GENERATION AND SUPPLY,,,23062,Gas-fired power plants,,,3.6.6
230,ENERGY GENERATION AND SUPPLY,,,23063,Coal-fired power plants,,,3.6.6
230,ENERGY GENERATION AND SUPPLY,,,23064,Nuclear power plants,Including nuclear safety.,,3.6.5
230,ENERGY GENERATION AND SUPPLY,,,23065,Hydro-electric power plants,Including power-generating river barges.,,3.6.6
230,ENERGY GENERATION AND SUPPLY,,,23066,Geothermal energy,,,3.6.6
230,ENERGY GENERATION AND SUPPLY,,,23067,Solar energy,"Including photo-voltaic cells, solar thermal applications and solar heating.",,3.6.6
230,ENERGY GENERATION AND SUPPLY,,,23068,Wind power,Wind energy for water lifting and electric power generation.,,3.6.6
230,ENERGY GENERATION AND SUPPLY,,,23069,Ocean power,"Including ocean thermal energy conversion, tidal and wave power.",,3.6.6
230,ENERGY GENERATION AND SUPPLY,,,23070,Biomass,"Densification technologies and use of biomass for direct power generation including biogas, gas obtained from sugar cane and other plant residues, anaerobic digesters.",,3.6.6
230,ENERGY GENERATION AND SUPPLY,,,23081,Energy education/training,Applies to all energy sub-sectors; all levels of training.,,3.6.2
230,ENERGY GENERATION AND SUPPLY,,,23082,Energy research,"Including general inventories, surveys.",,3.6.1
240,BANKING AND FINANCIAL SERVICES,,,24010,Financial policy and administrative management,"Finance sector policy, planning and programmes; institution capacity building and advice; financial markets and systems.",,1.3.13
240,BANKING AND FINANCIAL SERVICES,,,24020,Monetary institutions,Central banks.,,1.3.12
240,BANKING AND FINANCIAL SERVICES,,,24030,Formal sector financial intermediaries,"All formal sector financial intermediaries; credit lines; insurance, leasing, venture capital, etc. (except when focused on only one sector).",,3.12.1
240,BANKING AND FINANCIAL SERVICES,,,24040,Informal/semi-formal financial intermediaries,"Micro credit, savings and credit co-operatives etc.",,3.12.1
240,BANKING AND FINANCIAL SERVICES,,,24081,Education/training in banking and financial services,,,3.12.1
250,BUSINESS AND OTHER SERVICES,,,25010,Business support services and institutions,"Support to trade and business associations, chambers of commerce; legal and regulatory reform aimed at improving business and investment climate; private sector institution capacity building and advice; trade information; public-private sector networking including trade fairs; e-commerce.  Where sector cannot be specified: general support to private sector enterprises (in particular, use code 32130 for enterprises in the industrial sector).",,3.1.3
250,BUSINESS AND OTHER SERVICES,,,25020,Privatisation,"When sector cannot be specified.  Including general state enterprise restructuring or demonopolisation programmes; planning, programming, advice.",,3.1.4
311,AGRICULTURE,,,31110,Agricultural policy and administrative management,"Agricultural sector policy, planning and programmes; aid to agricultural ministries;  institution capacity building and advice; unspecified agriculture.",,3.3.1
311,AGRICULTURE,,,31120,Agricultural development,Integrated projects; farm development.,,3.3.1
311,AGRICULTURE,,,31130,Agricultural land resources,"Including soil degradation control; soil improvement; drainage of water logged areas; soil desalination; agricultural land surveys; land reclamation; erosion control, desertification control.",,3.3.1
311,AGRICULTURE,,,31140,Agricultural water resources,"Irrigation, reservoirs, hydraulic structures, ground water exploitation for agricultural use.",,3.3.2
311,AGRICULTURE,,,31150,Agricultural inputs,"Supply of seeds, fertilizers, agricultural machinery/equipment.",,3.3.3
